name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,G,GS,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg,runs_above_avg_adj,runs_above_rep,RpO_replacement,GR_leverage_index_avg,WAR,salary,teamRpG,oppRpG,pyth_exponent,waa_win_perc,WAA,WAA_adj,oppRpG_rep,pyth_exponent_rep,waa_win_perc_rep,WAR_rep,ERA_plus,ER_lg
Mike Clevinger,33,605182,clevimi01,2024,CHW,1,AL,4,4,48,48,0,13,8.7,0.395,0,-1.097,102,102.769,10.474,54,0.0129,-85,-2.526,-2.604,-1.063,0.193,1,-0.12,NULL,4.38443,5.03543,1.895,0.4348,-0.2608,-0.0105,4.74455,1.878,0.463,0.1518,62.16666667,7.46
Victor Vodnik,23,680767,vodnivi01,2023,COL,1,NL,6,0,26,0,26,9,4.692,-0.309,0,0.096,115,114.045,4.889,29,0.0064,15,-4.111,-4.093,-3.26,0.208,0.255,-0.19,NULL,4.70669,5.38886,1.933,0.435,-0.39,0.1206,4.84982,1.903,0.4858,0.0837,61.75,4.94
Dereck RodrÃ­guez,31,605446,rodride01,2023,MIN,1,AL,1,0,2,0,2,1,0.385,-0.026,0,0.021,100,100,0.338,3,0.0008,26,-0.662,-0.67,-0.598,0.203,0.12,-0.03,NULL,4.6077,5.2777,1.921,0.4352,-0.0648,0.0269,4.67112,1.887,0.4936,0.0064,49.3,0.493
James Paxton,35,572020,paxtoja01,2024,BOS,2,AL,3,3,33,33,0,8,5.609,0.255,0,0.353,106,111.021,6.118,36,0.0084,42,-1.882,-1.936,-0.876,0.193,1,-0.1,NULL,4.38443,5.02976,1.895,0.4353,-0.1941,-0.0072,4.71454,1.876,0.466,0.1046,107.56,5.378
Danny Young,28,664849,youngda02,2022,SEA,1,AL,2,0,11,0,11,3,1.958,-0.13,0,0.138,95,101.7,1.719,13,0.0032,43,-1.281,-1.262,-0.956,0.188,0.17,-0.05,NULL,4.25074,4.88174,1.878,0.4354,-0.1292,0.0447,4.41563,1.85,0.4824,0.0353,55.76666667,1.673
Sean Newcomb,29,656794,newcose01,2022,ATL,1,NL,3,0,15,0,15,4,2.42,-0.162,0,0.133,101,96.462,2.05,18,0.0046,29,-1.95,-1.938,-1.492,0.194,0.6167,-0.12,900000,4.39519,5.04119,1.896,0.4354,-0.1938,0.0233,4.54824,1.867,0.484,0.0484,61.1,2.444
Trevor Rogers,24,669432,rogertr01,2022,MIA,1,NL,23,23,321,321,0,69,52.544,2.396,0,1.353,101,100.566,53.89,321,0.0796,17,-15.11,-14.859,-5.302,0.194,1,-0.56,NULL,4.39519,5.04123,1.896,0.4354,-1.4858,-0.0895,4.8224,1.883,0.4564,1.0121,75.14461538,48.844
Kolby Allard,24,663465,allarko01,2022,TEX,1,AL,10,0,63,12,51,17,10.302,-0.463,0.619,0.145,102,102.713,10.593,61,0.0145,10,-6.407,-6.299,-4.545,0.188,0.877,-0.46,NULL,4.25074,4.88064,1.878,0.4355,-0.645,-0.0123,4.43961,1.852,0.4799,0.2018,55.36470588,9.412
Chris Devenski,33,606965,devench02,2024,TBR,1,AL,19,0,80,0,80,25,13.979,-0.938,0,0.144,99,100.033,12.901,84,0.0205,7,-12.099,-12.229,-9.661,0.193,0.6111,-0.79,1000000,4.38443,5.02806,1.895,0.4355,-1.2255,0.1831,4.51079,1.864,0.4868,0.2572,59.81,11.962
Nick Hernandez,29,663321,hernani01,2024,HOU,1,AL,5,0,24,0,24,7,4.355,-0.292,0,0.077,98,96,3.827,23,0.0059,13,-3.173,-3.212,-2.442,0.193,0.072,-0.11,740000,4.38443,5.02683,1.894,0.4356,-0.322,0.1328,4.52848,1.865,0.4849,0.0774,52.45714286,3.672
